stop1_name,stop2_name,Hour,MedianRunTime,CompromiseRunTime,MinMedianTime,Route1Stop,AdjustedHour,Direction,Sort
Mass. Ave @ Beacon St,77 Mass. Ave,6,132.5,122.25,112,Beacon-MassAve,6:00 AM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,6,55,49,43,MassAve-Albany,6:00 AM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,6,85,79,73,Albany-Sidney,6:00 AM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,6,99,84,69,Sidney-Prospect,6:00 AM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,6,36,36,36,Prospect-Bigelow,6:00 AM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,6,30,30,30,Bigelow-Hancock,6:00 AM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,6,24,23.25,22.5,Hancock-Dana,6:00 AM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,6,31,28,25,Dana-Trowbridge,6:00 AM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,6,30,30,30,Trowbridge-Bow,6:00 AM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,6,29,28.5,28,Bow-Holyoke,6:00 AM,Northbound,23
Mass. Ave @ Holyoke St,,6,,,,,6:00 AM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,7,44,37.5,31,Dudley-Ruggles,7:00 AM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,7,60,44.5,29,Ruggles-MelneaCass,7:00 AM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,7,42,30.5,19,MelneaCass-Harrison,7:00 AM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,7,76.5,59.75,43,Harrison-Randall,7:00 AM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,7,87,74,61,Randall-Albany,7:00 AM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,7,33,28,23,Albany-Harrison,7:00 AM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,7,115,85,55,Harrison-Washington,7:00 AM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,7,117,92.5,68,Washington-Tremont,7:00 AM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,7,84,53,22,Tremont-Columbus,7:00 AM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,7,39,34,29,Columbus-MassAveStation,7:00 AM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,7,98.5,56.75,15,MassAveStation-StBotolph,7:00 AM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,7,92,69.5,47,StBotolph-Clearway,7:00 AM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,7,77,65.5,54,Clearway-Newbury,7:00 AM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,7,84,80.5,77,Newbury-Beacon,7:00 AM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,7,179,145.5,112,Beacon-MassAve,7:00 AM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,7,69,56,43,MassAve-Albany,7:00 AM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,7,94,83.5,73,Albany-Sidney,7:00 AM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,7,114.5,91.75,69,Sidney-Prospect,7:00 AM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,7,65,50.5,36,Prospect-Bigelow,7:00 AM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,7,36,33,30,Bigelow-Hancock,7:00 AM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,7,29,25.75,22.5,Hancock-Dana,7:00 AM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,7,42,33.5,25,Dana-Trowbridge,7:00 AM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,7,34,32,30,Trowbridge-Bow,7:00 AM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,7,36,32,28,Bow-Holyoke,7:00 AM,Northbound,23
Mass. Ave @ Holyoke St,,7,,,,,7:00 AM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,8,43,37,31,Dudley-Ruggles,8:00 AM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,8,56,42.5,29,Ruggles-MelneaCass,8:00 AM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,8,40,29.5,19,MelneaCass-Harrison,8:00 AM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,8,79.5,61.25,43,Harrison-Randall,8:00 AM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,8,96,78.5,61,Randall-Albany,8:00 AM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,8,38,30.5,23,Albany-Harrison,8:00 AM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,8,121,88,55,Harrison-Washington,8:00 AM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,8,131,99.5,68,Washington-Tremont,8:00 AM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,8,94,58,22,Tremont-Columbus,8:00 AM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,8,40,34.5,29,Columbus-MassAveStation,8:00 AM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,8,94.5,54.75,15,MassAveStation-StBotolph,8:00 AM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,8,89,68,47,StBotolph-Clearway,8:00 AM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,8,89,71.5,54,Clearway-Newbury,8:00 AM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,8,95.5,86.25,77,Newbury-Beacon,8:00 AM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,8,202.5,157.25,112,Beacon-MassAve,8:00 AM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,8,77,60,43,MassAve-Albany,8:00 AM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,8,95,84,73,Albany-Sidney,8:00 AM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,8,124,96.5,69,Sidney-Prospect,8:00 AM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,8,75,55.5,36,Prospect-Bigelow,8:00 AM,Northbound,18
